"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","22,300,000,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,400,000,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","18,900,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","15,400,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,600,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","13,800,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","354,000,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","172,090,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","181,910,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","23,200,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,300,000,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","19,900,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","15,700,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,700,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","14,000,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","357,800,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","173,130,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","184,670,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","22,000,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,400,000,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","18,600,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","15,200,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,550,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","13,650,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","346,900,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","169,900,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","177,000,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","23,500,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,700,000,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","19,800,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","14,600,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,650,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","12,950,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","362,800,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","182,500,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","180,300,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","25,500,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","4,200,000,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","21,300,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","15,800,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,800,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","14,000,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","397,600,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","195,390,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","202,210,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","28,000,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","4,800,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","23,200,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","14,600,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,700,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","12,900,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","367,270,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","160,750,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","206,520,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","28,300,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","4,500,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","23,800,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","14,000,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,300,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","12,700,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","360,100,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","155,310,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","204,790,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","28,800,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,800,000,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","25,000,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","11,800,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,170,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","10,630,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","318,650,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","148,480,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","170,170,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","25,100,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,440,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","21,660,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","10,700,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,210,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","9,490,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","289,050,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","130,600,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","158,450,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","21,000,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,100,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","17,900,000,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","11,500,000,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,100,000,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","10,400,000,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","287,400,000,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","128,860,000,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","158,540,000,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","20,100,000,000",""
