Type,Pest,Family,Genus
Herbicide,COGONGRASS,,
Herbicide,"PLANTAIN, BROADLEAF",,
Herbicide,BERMUDAGRASS,,
Herbicide,BLACKBERRY,,
Herbicide,CHICKWEED,,
Herbicide,DOGFENNEL,,
Herbicide,"PANICUM, BROWNTOP",,
Herbicide,"BARLEY, WILD",,
Herbicide,BUTTERCUP,,
Herbicide,TIMOTHY,,
Herbicide,WINDGRASS,,
Herbicide,POKEWEED,,
Insecticide,CUTWORM,,
Insecticide,"ROOTWORM, CORN",,
Insecticide,BEETLE,,
Insecticide,GRUB,,
Insecticide,"MAGGOT, SEED",,
Insecticide,APHID,,
Insecticide,"BORER, CORNSTALK",,
Insecticide,"BORER, EUROPEAN CORN",,
Insecticide,"BUG, BILL",,
Insecticide,"BUG, CHINCH",,
Insecticide,"FRUITWORM, GREEN",,
Insecticide,"GRUB, JAPANESE BEETLE",,
Insecticide,MOTH,,
Insecticide,No Answer Insect,,
Insecticide,WIREWORM,,
Insecticide,WORM,,
Insecticide,"WORM, BOLL",,
Insecticide,"WORM, BUD",,
Insecticide,"WORM, CORN EAR",,
Insecticide,"BEETLE, CORN",,
Insecticide,"BEETLE, FLEA",,
Insecticide,BORER,,
Insecticide,"CUTWORM, BLACK",,
Insecticide,"GRUB, WHITE",,
Insecticide,"ROOTWORM, WESTERN CORN",,
Insecticide,SLUG,,
Insecticide,"WEEVIL, RICE WATER",,
Insecticide,"WEEVIL, ROOT",,
Insecticide,ALL INSECTS,,
Insecticide,"ANT, FIRE",,
Insecticide,ARMYWORM,,
Insecticide,"ARMYWORM, BEET",,
Insecticide,"BEETLE, LADY",,
Insecticide,"BEETLE, SEEDCORN",,
Insecticide,"BORER, CANE",,
Insecticide,BUG,,
Insecticide,"BUG, PLANT",,
Insecticide,"BUG, SQUASH",,
Insecticide,CRAYFISH,,
Insecticide,"FIREWORM, BLACKHEADED",,
Insecticide,GRASSHOPPER,,
Insecticide,KATYDID,,
Insecticide,LEAFMINER,,
Insecticide,MAGGOT,,
Insecticide,MIDGE,,
Insecticide,"MITE, SPIDER",,
Insecticide,"ROOTWORM, NORTHERN CORN",,
Insecticide,"ROOTWORM, SOUTHERN CORN",,
Insecticide,SYMPHYLAN,,
Insecticide,THRIP,,
Insecticide,"THRIP, ONION",,
Insecticide,TIPWORM,,
Insecticide,"WEBWORM, SOD",,
Insecticide,"WORM, BAG",,
Insecticide,"WORM, LEAF",,
Insecticide,"WORM, REDNECKED PEANUT",,
Insecticide,LEAFHOPPER,,
Insecticide,PODWORM,,
Insecticide,"WORM, SPLIT",,
Insecticide,"BORER, SOUTHWESTERN CORN",,
Insecticide,"APHID, APPLE",,
Insecticide,"BILLBUG, BLUEGRASS",,
Insecticide,"BEETLE, JAPANESE",,
Insecticide,"BORER, COMMON STALK",,
Insecticide,"BORER, TWIG",,
Insecticide,LARVAE,,
Insecticide,"MOTH, SUNFLOWER",,
Insecticide,LICE,,
Insecticide,"MAGGOT, ROOT",,
Insecticide,"APHID, ROOT",,
Insecticide,"BEETLE, DARKLING GROUND",,
Insecticide,FLY,,
Insecticide,"FLY, HUSK",,
Insecticide,WEBWORM,,
Insecticide,WEEVIL,,
Insecticide,ANT,,
Insecticide,"APHID, CORN LEAF",,
Insecticide,"APHID, RUSSIAN WHEAT",,
Insecticide,"ARMYWORM, YELLOWSTRIPE",,
Insecticide,"BEETLE, MEXICAN BEAN",,
Insecticide,"BEETLE, SPOTTED CUCUMBER",,
Insecticide,"BORER, LESSER CORNSTALK",,
Insecticide,"BUG, STINK",,
Insecticide,"BUG, TARNISHED PLANT",,
Insecticide,PILLBUG,,
Insecticide,SPIDER,,
Insecticide,"WORM, HORN",,
Insecticide,"WORM, PIN",,
Herbicide,BALLOONVINE,,
Herbicide,"BEAN, VOLUNTEER",,
Herbicide,"BURSAGE, WOOLLYLEAF",,
Herbicide,"GARLIC, WILD",,
Herbicide,MARIJUANA,,
Herbicide,SMELLMELON,,
Herbicide,"THISTLE, FLODMAN",,
Herbicide,"THISTLE, MUSK",,
Herbicide,Unidentified Weed,,
Herbicide,"VETCH, HAIRY",,
Herbicide,BAHIAGRASS,,
Herbicide,"BUCKWHEAT, WILD",,
Herbicide,"CUTGRASS, GIANT",,
Herbicide,"DOCK, SOUR",,
Herbicide,"MALLOW, COMMON",,
Herbicide,PENNYCRESS,,
Herbicide,PENNYWORT,,
Herbicide,"PIGWEED, TUMBLE",,
Herbicide,POISON-HEMLOCK,,
Herbicide,SUMPWEED,,
Herbicide,WATERHEMLOCK,,
Herbicide,WHITETOP,,
Herbicide,WITCHGRASS,,
Herbicide,"YARROW, COMMON",,
Herbicide,"BROME, DOWNY",,
Herbicide,CEDAR,,
Herbicide,FLEABANE,,
Herbicide,PARTRIDGEPEA,,
Herbicide,SAWGRASS,,
Herbicide,SWITCHGRASS,,
Herbicide,"WILDRYE, VIRGINIA",,
Herbicide,BLACKGRASS,,
Herbicide,"CHAMOMILE, CORN",,
Herbicide,CITRONMELON,,
Herbicide,"COPPERLEAF, VIRGINIA",,
Herbicide,"FLAX, VOLUNTEER",,
Herbicide,"GOATGRASS, JOINTED",,
Herbicide,GOLDENROD,,
Herbicide,HAWKWEED,,
Herbicide,HORSENETTLE,,
Herbicide,IRONWEED,,
Herbicide,ITCHGRASS,,
Herbicide,KNOTGRASS,,
Herbicide,MEXICANWEED,,
Herbicide,"MUSTARD, BLACK",,
Herbicide,"OAT, VOLUNTEER",,
Herbicide,"PASPALUM, BULL",,
Herbicide,PEAVINE,,
Herbicide,"PEPPERWEED, PERENNIAL",,
Herbicide,"PUSLEY, FLORIDA",,
Herbicide,"ROCKET, YELLOW",,
Herbicide,"SMARTWEED, SWAMP",,
Herbicide,TANSY,,
Herbicide,"THISTLE, BULL",,
Herbicide,"TARO, WILD",,
Herbicide,WOODY BRUSH,,
Herbicide,POISON-OAK,,
Herbicide,"WINTERCRESS, EARLY",,
Herbicide,"HENBANE, BLACK",,
Herbicide,"MALLOW, VENICE",,
Herbicide,"NUTSEDGE, PURPLE",,
Herbicide,PLANTAIN,,
Herbicide,TANSYMUSTARD,,
Herbicide,"ADONIS, PHEASANTEYE",,
Herbicide,"BARLEY, FOXTAIL",,
Herbicide,BLUEWEED,,
Herbicide,FOGFRUIT,,
Herbicide,"MILLET, FOXTAIL",,
Insecticide,MITE,,
Insecticide,"FLY, HORSE",,
Insecticide,"MITE, 2-SPOTTED",,
Insecticide,MEALYBUG,,
Herbicide,"ARTICHOKE, JERUSALEM",,
Herbicide,"GALINSOGA, SMALLFLOWER",,
Herbicide,"BEGGARWEED, FLORIDA",,
Herbicide,"BLUESTEM, LITTLE",,
Herbicide,"CARROT, WILD",,
Herbicide,"CROTON, TROPIC",,
Herbicide,DALLISGRASS,,
Herbicide,GALINSOGA,,
Herbicide,HUCKLEBERRY,,
Herbicide,PICKERELWEED,,
Herbicide,"POINSETTIA, WILD",,
Herbicide,RESCUEGRASS,,
Herbicide,"SENNA, COFFEE",,
Herbicide,"STARBUR, BRISTLY",,
Herbicide,TALLOWWEED,,
Herbicide,TARWEED,,
Herbicide,TEXASWEED,,
Herbicide,"SPURRY, CORN",,
Herbicide,CALADIUM,,
Herbicide,"GROMWELL, CORN",,
Herbicide,KUDZU,,
Herbicide,LADYSTHUMB,,
Herbicide,POISON-IVY,,
Herbicide,POVERTYWEED,,
Herbicide,"CANARYGRASS, REED",,
Herbicide,"SUMAC, SMOOTH",,
Herbicide,CHICORY,,
Herbicide,BROME,,
Herbicide,CANARYGRASS,,
Herbicide,"BEAN, WILD PEA",,
Herbicide,BRIAR,,
Herbicide,COPPERWEED,,
Herbicide,DAISY,,
Herbicide,"IVY, GROUND",,
Herbicide,SOWTHISTLE,,
Herbicide,TREE,,
Herbicide,"VINE, MILKWEED",,
Herbicide,CHOLLA,,
Herbicide,BROOMWEED,,
Herbicide,ALLIGATORWEED,,
Herbicide,BEARDGRASS,,
Herbicide,BELLFLOWER,,
Herbicide,"BUCKWHEAT, TARTARY",,
Herbicide,"CAMPION, WHITE",,
Herbicide,CENTIPEDEGRASS,,
Herbicide,COWCOCKLE,,
Herbicide,CROTON,,
Herbicide,CUDWEED,,
Herbicide,"CUPGRASS, PRAIRIE",,
Herbicide,DOVEWEED,,
Herbicide,DUCKWEED,,
Herbicide,HAWTHORN,,
Herbicide,ONIONGRASS,,
Herbicide,"POPPY, FIELD",,
Herbicide,"SNEEZEWEED, BITTER",,
Herbicide,"SORGHUM, VOLUNTEER",,
Herbicide,SPANISHNEEDLES,,
Herbicide,SPRANGLETOP,,
Herbicide,STINKWEED,,
Herbicide,WORMWOOD,,
Herbicide,"SNAKEWEED, BROOM",,
Herbicide,ST. JOHNSWORT,,
Herbicide,CROWNBEARD,,
Herbicide,CAMPHORWEED,,
Herbicide,GREENBRIAR,,
Herbicide,LILY,,
Herbicide,"STICKTIGHT, EUROPEAN",,
Herbicide,"ROSE, MULTIFLORA",,
Herbicide,BLACKEYED-SUSAN,,
Herbicide,GOOSEFOOT,,
Herbicide,PERIWINKLE,,
Herbicide,"BARLEY, VOLUNTEER",,
Herbicide,SMUTGRASS,,
Herbicide,"OAK, SHINNERY",,
Herbicide,"FESCUE, RED",,
Herbicide,HORSETAIL,,
Herbicide,"KNAPWEED, RUSSIAN",,
Herbicide,"VERVAIN, BLUE",,
Herbicide,WATERPURSLANE,,
Herbicide,CARPETWEED,,
Insecticide,"MITE, BANKS GRASS",,
Insecticide,"MITE, GRASS",,
Insecticide,"LEAFHOPPER, POTATO",,
Insecticide,"APHID, BLACK",,
Insecticide,"CUTWORM, WESTERN BEAN",,
Insecticide,"BEETLE, LEAF",,
Insecticide,"MITE, EUROPEAN RED",,
Insecticide,"MITE, PACIFIC SPIDER",,
Insecticide,"MITE, RED SPIDER",,
Herbicide,"ACACIA, CATCLAW",,
Herbicide,GROUNDSEL,,
Herbicide,BENTGRASS,,
Herbicide,VASEYGRASS,,
Herbicide,"BROME, RIPGUT",,
Herbicide,BROOMSEDGE,,
Herbicide,COWPEA,,
Herbicide,DICHONDRA,,
Herbicide,LEADPLANT,,
Herbicide,MINT,,
Herbicide,POORJOE,,
Herbicide,"POTATO, VOLUNTEER",,
Herbicide,STINKGRASS,,
Herbicide,"CEREAL, VOLUNTEER",,
Herbicide,"EVERLASTING, PEARLY",,
Herbicide,NAPIERGRASS,,
Herbicide,"ASPARAGUS, VOLUNTEER",,
Herbicide,VETCH,,
Herbicide,TUMBLEGRASS,,
Herbicide,ASTER,,
Insecticide,CENTIPEDE,,
Insecticide,"CUTWORM, CLIMBING",,
Herbicide,"DEADNETTLE, PURPLE",,
Herbicide,"TOBACCO, WILD",,
Herbicide,DAYFLOWER,,
Herbicide,GROUNDCHERRY,,
Herbicide,"JOINTVETCH, NORTHERN",,
Herbicide,"ANODA, SPURRED",,
Herbicide,IRIS,,
Herbicide,"PASSIONFLOWER, MAYPOP",,
Herbicide,"VIOLET, FIELD",,
Herbicide,WATERMELON,,
Herbicide,"BEAKRUSH, HORNED",,
Herbicide,LOVEGRASS,,
Herbicide,PUNCTUREVINE,,
Herbicide,"BROME, JAPANESE",,
Herbicide,BUCKBRUSH,,
Herbicide,"CELERY, WILD",,
Herbicide,TANOAK,,
Herbicide,OXALIS,,
Herbicide,"MILLET, BROWNTOP",,
Herbicide,REDSTEM,,
Herbicide,"PLANTAIN, BUCKHORN",,
Herbicide,"MANNAGRASS, RATTLESNAKE",,
Herbicide,MARSHELDER,,
Herbicide,OAK,,
Herbicide,"LETTUCE, TALL",,
Herbicide,SALTGRASS,,
Herbicide,"THISTLE, SCOTCH",,
Herbicide,DARNEL,,
Herbicide,"RAPE, VOLUNTEER",,
Herbicide,SEDGE,,
Herbicide,"COPPERLEAF, HOPHORNBEAM",,
Herbicide,DODDER,,
Herbicide,BALSAMAPPLE,,
Herbicide,"CARAWAY, COMMON",,
Herbicide,CATTAIL,,
Herbicide,"CRESS, HOARY",,
Herbicide,FALSEFLAX,,
Herbicide,FLIXWEED,,
Herbicide,GROMWELL,,
Herbicide,JUNIPER,,
Herbicide,LARKSPUR,,
Herbicide,MAIDENCANE,,
Herbicide,"NIGHTSHADE, SILVERLEAF",,
Herbicide,"WAXMYRTLE, SOUTHERN",,
Herbicide,HAWKSBEARD,,
Herbicide,"SCALESEED, SPREADING",,
Herbicide,ALKALIWEED,,
Herbicide,"NETTLE, STINGING",,
Herbicide,"NIGHTSHADE, HAIRY",,
Herbicide,"HAWKWEED, YELLOW",,
Herbicide,BARBERRY,,
Herbicide,"FESCUE, TALL",,
Herbicide,"GERANIUM, DOVEFOOT",,
Herbicide,"LETTUCE, PRICKLY",,
Herbicide,MULLEIN,,
Herbicide,"BARLEY, LITTLE",,
Herbicide,BRAMBLE,,
Herbicide,CHINABERRY,,
Herbicide,GOURD,,
Herbicide,"OXTONGUE, BRISTLY",,
Herbicide,"WEEDS, ANNUAL",,
Herbicide,"GRASSES, ANNUAL",,
Herbicide,MUGWORT,,
Herbicide,"PIGWEED, SMOOTH",,
Herbicide,"GRASSES, PERENNIAL",,
Herbicide,"AMARANTH, SPINY",,
Insecticide,"ARMYWORM, FALL",,
Insecticide,"ARMYWORM, SOUTHERN",,
Insecticide,"CRICKET, MOLE",,
Insecticide,"CATERPILLAR, ALFALFA",,
Insecticide,"HOPPER, THREECORNERED ALFALFA",,
Insecticide,NEMATODE,,
Insecticide,"WEEVIL, ALFALFA",,
Insecticide,"BUG, GREEN STINK",,
Insecticide,GNAT,,
Insecticide,GREENBUG,,
Insecticide,"NEMATODE, LANCE",,
Insecticide,"NEMATODE, ROOT KNOT",,
Herbicide,"CHICKWEED, MOUSEEAR",,
Herbicide,"GRASS, EASTERN GAMA",,
Herbicide,"MUSTARD, BLUE",,
Herbicide,AMARANTH,,
Herbicide,"BROADLEAVES, ANNUAL",,
Herbicide,"BROADLEAVES, PERENNIAL",,
Herbicide,NEEDLEGRASS,,
Herbicide,REDTOP,,
Herbicide,SASSAFRAS,,
Herbicide,BULRUSH,,
Herbicide,"MUSTARD, WALLFLOWER",,
Herbicide,"PENNYCRESS, FIELD",,
Insecticide,"BUG, LACE",,
Insecticide,CURCULIO,,
Insecticide,"FLY, SILK",,
Insecticide,"WORM, CLOVER",,
Herbicide,ARROWHEAD,,
Herbicide,"WEEDS, PERENNIAL",,
Herbicide,BURSAGE,,
Herbicide,"SAGE, LANCELEAF",,
Herbicide,SWINECRESS,,
Herbicide,PONDWEED,,
Herbicide,WATERHYACINTH,,
Herbicide,DUCKSALAD,,
Herbicide,"GOLDENROD, CANADA",,
Herbicide,CATCHFLY,,
Herbicide,"DEWBERRY, SOUTHERN",,
Herbicide,"AMMANNIA, PURPLE",,
Herbicide,"FESCUE, RATTAIL",,
Herbicide,"NIGHTSHADE, CUTLEAF",,
Herbicide,SPEEDWELL,,
Herbicide,DOLLARWEED,,
Herbicide,PRICKLYPEAR,,
Herbicide,AGERATUM,,
Herbicide,"MOONFLOWER, PURPLE",,
Herbicide,RABBITBRUSH,,
Herbicide,"KNAPWEED, SPOTTED",,
Herbicide,"PEANUTS, VOLUNTEER",,
Herbicide,"CAMPION, MEADOW",,
Insecticide,"APHID, LEAF",,
Herbicide,TORPEDOGRASS,,
Insecticide,PREVENTATIVE PROGRAM,,
Herbicide,"KNOTWEED, JAPANESE",,
Herbicide,"AMARANTH, PALMER",,
Herbicide,SPIKEWEED,,
Herbicide,DOCK,,
Herbicide,"LOCO, WOOLLY",,
Herbicide,SORGHUM-ALMUM,,
Insecticide,"MITE, BROWN",,
Insecticide,CRICKET,,
Herbicide,"SPURGE, SPOTTED",,
Herbicide,REDVINE,,
Herbicide,"GERANIUM, CAROLINA",,
Herbicide,PALMGRASS,,
Herbicide,"CANOLA, VOLUNTEER",,
Herbicide,"BROME, CALIFORNIA",,
Herbicide,"LOCO, WOOTON",,
Herbicide,"THISTLE, PLUMELESS",,
Herbicide,WITCHWEED,,
Herbicide,KIKUYUGRASS,,
Insecticide,"BORER, HOP VINE",,
Herbicide,HEMPNETTLE,,
Herbicide,"STARTHISTLE, YELLOW",,
Herbicide,"CONEFLOWER, PRAIRIE",,
Herbicide,FIRE BUSH,,
Herbicide,LUPINE,,
Herbicide,TICKWEED,,
Herbicide,"SPURGE, LEAFY",,
Herbicide,SEEPWEED,,
Herbicide,PINEAPPLE-WEED,,
Herbicide,DOGWEED,,
Herbicide,"COREOPSIS, PLAINS",,
Herbicide,ALEXANDERGRASS,,
Herbicide,FOUR O'CLOCK,,
Herbicide,SKELETONWEED,,
Herbicide,"FINGERGRASS, FEATHER",,
Herbicide,SPIDERWORT,,
Herbicide,BLOODBERRY,,
Herbicide,SKUNKWEED,,
Herbicide,"TREFOIL, BIRDSFOOT",,
Herbicide,BOUNCINGBET,,
Herbicide,"MEDIC, BLACK",,
Herbicide,"BETONY, FLORIDA",,
Herbicide,"MOSS, SPANISH",,
Herbicide,"BEDSTRAW, CATCHWEED",,
Herbicide,"BURCLOVER, CALIFORNIA",,
Herbicide,"FILAREE, REDSTEM",,
Herbicide,"PLUM, AMERICAN",,
Herbicide,STAR OF BETHLEHEM,,
Herbicide,MAYFLOWER,,
Herbicide,FIDDLENECK,,
Herbicide,JOB'S-TEARS,,
Herbicide,"GRASS, BARLEY",,
Herbicide,"SPURGE, PROSTRATE",,
Insecticide,"NEMATODE, NEEDLE",,
Herbicide,"WEEDS, TRIAZINE RESISTANT",,
Herbicide,CHARA,,
Herbicide,PURPLETOP,,
Herbicide,RED-MAIDS,,
Herbicide,ST. AUGUSTINEGRASS,,
Herbicide,HOUNDSTONGUE,,
Herbicide,CATSEAR,,
Herbicide,FILAREE,,
Herbicide,PERSIMMON,,
Insecticide,FLEAHOPPER,,
Insecticide,"MITE, CYCLAMEN",,
Herbicide,"NETTLE, BURNING",,
Herbicide,"PARSLEY, SPRING",,
Herbicide,"GRASS, CARPET",,
Herbicide,"JESSAMINE, CAROLINA",,
Herbicide,"LETTUCE, INDIAN",,
Herbicide,ALKALI SACATON,,
Herbicide,"ARROWHEAD, CALIFORNIA",,
Herbicide,"CLOVER, WHITE",,
Herbicide,HYDRILLA,,
Herbicide,YANKEEWEED,,
Herbicide,BUFFELGRASS,,
Herbicide,"MARIGOLD, WILD",,
Insecticide,LOCUST,,
Insecticide,"BEETLE, CEREAL LEAF",,
Herbicide,"FESCUE, SIXWEEKS",,
Herbicide,"CROP, VOLUNTEER",,
Herbicide,"WATERMILFOIL, EURASIAN",,
Herbicide,WINTER ANNUALS,,
Herbicide,LANTANA,,
Herbicide,BERRIES,,
Herbicide,HORSEMINT,,
Herbicide,"OLIVE, RUSSIAN",,
Herbicide,"FOXTAIL, BRISTLY",,
Herbicide,NIMBLEWILL,,
Herbicide,"WILLOWWEED, PANICLE",,
Herbicide,CHAMOMILE,,
Herbicide,"OAK, POST",,
Herbicide,WATERLILY,,
Herbicide,MOSS,,
Herbicide,"RAGWEED, WESTERN",,
Herbicide,"DAYFLOWER,  ASIATIC",,
Herbicide,BASSIA,,
Herbicide,TOADFLAX,,
Herbicide,CATNIP,,
Herbicide,"COTTON, VOLUNTEER",,
Herbicide,INCREASE SUGAR,,
Herbicide,LESPEDEZA,,
Herbicide,"SUGAR BEET, VOLUNTEER",,
Herbicide,"CHAMOMILE, FALSE",,
Herbicide,SULFONYLUREA RESISTANT WEEDS,,
Insecticide,"CUTWORM, VARIEGATED",,
Insecticide,"ROOTWORM, MEXICAN",,
Herbicide,MESQUITE,,
Herbicide,"RAGWEED, BURR",,
Herbicide,SOURGRASS,,
Herbicide,PINKROOT,,
Herbicide,CHRISTMASBERRY,,
Herbicide,FERN,,
Herbicide,"RAGWEED, LANCELEAF",,
Herbicide,"CINQUEFOIL, SULFUR",,
Herbicide,"LETTUCE, BLUE",,
Herbicide,"ELODEA, COMMON WATERWEED",,
Herbicide,ELM,,
Insecticide,"BEETLE, BEAN LEAF",,
Insecticide,"APHID, SOYBEAN",,
Herbicide,TEXAS BLUEWEED,,
Herbicide,"VINE, BLADDER",,
Herbicide,NAIAD,,
Insecticide,CATERPILLAR,,
Insecticide,LOOPER,,
Insecticide,"CATERPILLAR, VELVETBEAN",,
Insecticide,"LOOPER, CABBAGE",,
Insecticide,"BUG, SOUTHERN GREEN STINK",,
Insecticide,"LOOPER, SOYBEAN",,
Herbicide,"COCKLEBUR, SPINY",,
Insecticide,"ARMYWORM, WESTERN YELLOW STRIPED",,
Insecticide,"COLASPIS, GRAPE",,
Herbicide,"CLOVER, RED",,
Herbicide,"HYSSOP, CAROLINA WATER",,
Herbicide,"NIGHTSHADE, EASTERN BLACK",,
Herbicide,GALLBERRY,,
Herbicide,"GHERKIN, WEST INDIAN",,
Herbicide,SPIKERUSH,,
Herbicide,"SEDGE, SMALLFLOWER UMBRELLA",,
Herbicide,"MUSTARD, YELLOW",,
Herbicide,CASTORBEAN,,
Herbicide,"CLOVER, BUFFALO",,
Herbicide,JUNGLERICE,,
Herbicide,"LOOSESTRIFE, PURPLE",,
Herbicide,SAGEBRUSH,,
Herbicide,"BLUEGRASS, ROUGHSTALK",,
Insecticide,"BEETLE, CORN SILK",,
Insecticide,"CUTWORM, DINGY",,
Fungicide,PHYTOPHTHORA,,
Fungicide,DAMPING OFF,,
Fungicide,"ROT, ROOT",,
Herbicide,"DAISY, FIELD",,
Herbicide,"MUSTARD, TUMBLE",,
Herbicide,"GRASS, RABBIT-FOOT",,
Fungicide,BACTERIA,,
Fungicide,BLIGHT,,
Fungicide,"BLIGHT, AERIAL",,
Fungicide,"MILDEW, POWDERY",,
Fungicide,"MOLD, WHITE",,
Fungicide,No Answer Disease,,
Fungicide,PURPLE SEED STAIN,,
Fungicide,ROT,,
Fungicide,RUST,,
Fungicide,"RUST, ASIAN SOYBEAN",,
Fungicide,SEPTORIA,,
Fungicide,"SPOT, BROWN",,
Fungicide,"SPOT, CERCOSPORA",,
Fungicide,"SPOT, FROGEYE LEAF",,
Fungicide,"SPOT, LEAF",,
Fungicide,"WILT, BACTERIAL",,
Fungicide,ANTHRACNOSE,,
Fungicide,"BLIGHT, LEAF",,
Fungicide,"BLIGHT, SEEDLING",,
Fungicide,MILDEW,,
Fungicide,"MILDEW, DOWNY",,
Fungicide,RHIZOCTONIA,,
Fungicide,"ROT, BROWN",,
Fungicide,"ROT, CHARCOAL",,
Fungicide,SCAB,,
Insecticide,"BUG, BROWN STINK",,
Insecticide,"BEETLE, CUCUMBER",,
Insecticide,"BUG, RICE STINK",,
Herbicide,"CUDWEED, PURPLE",,
Insecticide,"CUTWORM, GRANULATE",,
Herbicide,"DRAGONHEAD, AMERICAN",,
Herbicide,"VELVETGRASS, GERMAN",,
Herbicide,"SEDGE, WATER",,
Herbicide,CINQUEFOIL,,
Herbicide,"CINQUEFOIL, SHRUBBY",,
Herbicide,FALSE RAGWEED,,
Herbicide,"PLUM, SAND",,
Herbicide,"CHRYSTHANTHEMUM, COSTMARY",,
