Type,Crop,Pest,Family,Genus
Herbicide,Corn,BITTERCRESS,,
Herbicide,Corn,BLACKBERRY,,
Herbicide,Soybeans,BLACKBERRY,,
Herbicide,Corn,BLACKEYED-SUSAN,,
Herbicide,Soybeans,BLACKEYED-SUSAN,,
Herbicide,Corn,BLACKGRASS,,
Herbicide,Soybeans,BLACKGRASS,,
Herbicide,Corn,BLOODBERRY,,
Herbicide,Soybeans,BLOODBERRY,,
Herbicide,Corn,"BLUEGRASS, ANNUAL",,
Herbicide,Soybeans,"BLUEGRASS, ANNUAL",,
Herbicide,Corn,"BLUEGRASS, KENTUCKY",,
Herbicide,Soybeans,"BLUEGRASS, KENTUCKY",,
Herbicide,Corn,"BLUEGRASS, ROUGHSTALK",,
Herbicide,Soybeans,"BLUEGRASS, ROUGHSTALK",,
Herbicide,Corn,"BLUESTEM, LITTLE",,
Herbicide,Soybeans,"BLUESTEM, LITTLE",,
Herbicide,Corn,BLUEWEED,,
Herbicide,Soybeans,BLUEWEED,,
Herbicide,Soybeans,BOUNCINGBET,,
Herbicide,Soybeans,"BRACKENFERN, WESTERN",,
Herbicide,Corn,BRAMBLE,,
Herbicide,Soybeans,BRAMBLE,,
Herbicide,Corn,BRIAR,,
Herbicide,Soybeans,BRIAR,,
Herbicide,Corn,"BROADLEAVES, ALL","Dicot, all","Dicot, all"
Herbicide,Soybeans,"BROADLEAVES, ALL",,
Herbicide,Corn,"BROADLEAVES, ANNUAL",,
Herbicide,Soybeans,"BROADLEAVES, ANNUAL",,
Herbicide,Corn,"BROADLEAVES, PERENNIAL",,
Herbicide,Soybeans,"BROADLEAVES, PERENNIAL",,
Herbicide,Corn,BROME,,
Herbicide,Soybeans,BROME,,
Herbicide,Corn,"BROME, CALIFORNIA",,
Herbicide,Soybeans,"BROME, CALIFORNIA",,
Herbicide,Corn,"BROME, DOWNY",,
Herbicide,Soybeans,"BROME, DOWNY",,
Herbicide,Corn,"BROME, JAPANESE",,
Herbicide,Soybeans,"BROME, JAPANESE",,
Herbicide,Corn,"BROME, RED",,
Herbicide,Soybeans,"BROME, RED",,
Herbicide,Corn,"BROME, RIPGUT",,
Herbicide,Soybeans,"BROME, RIPGUT",,
Herbicide,Corn,"BROME, SMOOTH",,
Herbicide,Soybeans,"BROME, SMOOTH",,
Herbicide,Corn,BROOMSEDGE,,
Herbicide,Corn,BROOMWEED,,
Herbicide,Soybeans,BROOMWEED,,
Herbicide,Corn,BUCKBRUSH,,
Herbicide,Soybeans,BUCKBRUSH,,
Herbicide,Corn,"BUCKTHORN, EUROPEAN",,
Herbicide,Corn,"BUCKWHEAT, TARTARY",,
Herbicide,Soybeans,"BUCKWHEAT, TARTARY",,
Herbicide,Corn,"BUCKWHEAT, WILD",,
Herbicide,Soybeans,"BUCKWHEAT, WILD",,
Herbicide,Corn,BUFFALOBUR,,
Herbicide,Soybeans,BUFFALOBUR,,
Herbicide,Corn,BUFFALOGRASS,,
Herbicide,Soybeans,BUFFALOGRASS,,
Herbicide,Corn,BUFFELGRASS,,
Herbicide,Soybeans,BUFFELGRASS,,
Herbicide,Corn,BULLNETTLE,,
Herbicide,Soybeans,BULLNETTLE,,
Herbicide,Corn,BULRUSH,,
Herbicide,Corn,"BURCLOVER, CALIFORNIA",,
Herbicide,Soybeans,"BURCLOVER, CALIFORNIA",,
Herbicide,Corn,BURCUCUMBER,,
Herbicide,Soybeans,BURCUCUMBER,,
Herbicide,Corn,"BURDOCK, COMMON",,
Herbicide,Soybeans,"BURDOCK, COMMON",,
Herbicide,Corn,BURNDOWN,Unknown,Unknown
Herbicide,Soybeans,BURNDOWN,,
Herbicide,Corn,"BURRWEED, FIELD",,
Herbicide,Soybeans,"BURRWEED, FIELD",,
Herbicide,Corn,BURSAGE,,
Herbicide,Soybeans,BURSAGE,,
Herbicide,Corn,"BURSAGE, WOOLLYLEAF",,
Herbicide,Soybeans,"BURSAGE, WOOLLYLEAF",,
Herbicide,Corn,BUTTERCUP,,
Herbicide,Soybeans,BUTTERCUP,,
Herbicide,Corn,BUTTONWEED,,Diodia
Herbicide,Soybeans,BUTTONWEED,,
Herbicide,Corn,CALADIUM,,
Herbicide,Soybeans,CALADIUM,,
Herbicide,Corn,CAMPHORWEED,,
Herbicide,Soybeans,CAMPHORWEED,,
Herbicide,Corn,"CAMPION, MEADOW",,
Herbicide,Soybeans,"CAMPION, MEADOW",,
Herbicide,Corn,"CAMPION, WHITE",,
Herbicide,Soybeans,"CAMPION, WHITE",,
Herbicide,Corn,CANARYGRASS,,
Herbicide,Soybeans,CANARYGRASS,,
Herbicide,Corn,"CANARYGRASS, LITTLESEED",,
Herbicide,Corn,"CANARYGRASS, REED",,
Herbicide,Soybeans,"CANARYGRASS, REED",,
Herbicide,Corn,"CANCERWORT, SHARPLEAF",,
Herbicide,Soybeans,"CANCERWORT, SHARPLEAF",,
Herbicide,Corn,"CANOLA, VOLUNTEER",,
Herbicide,Soybeans,"CANOLA, VOLUNTEER",,
Herbicide,Soybeans,"CARAWAY, COMMON",,
Herbicide,Corn,CARPETWEED,,
Herbicide,Soybeans,CARPETWEED,,
Herbicide,Corn,"CARROT, WILD",,
Herbicide,Soybeans,"CARROT, WILD",,
Herbicide,Corn,CASTORBEAN,,
Herbicide,Corn,CATCHFLY,,
Herbicide,Soybeans,CATCHFLY,,
Herbicide,Soybeans,CATNIP,,
Herbicide,Corn,CATSEAR,,
Herbicide,Soybeans,CATSEAR,,
Herbicide,Corn,CATTAIL,,
Herbicide,Soybeans,CATTAIL,,
Herbicide,Corn,CEDAR,,
Herbicide,Soybeans,CEDAR,,
Herbicide,Corn,"CELERY, WILD",,
Herbicide,Soybeans,"CELERY, WILD",,
Herbicide,Corn,CENTIPEDEGRASS,,
Herbicide,Soybeans,CENTIPEDEGRASS,,
Herbicide,Corn,"CEREAL, VOLUNTEER",,
Herbicide,Soybeans,"CEREAL, VOLUNTEER",,
Herbicide,Corn,CHAMOMILE,,
Herbicide,Corn,"CHAMOMILE, CORN",,
Herbicide,Soybeans,"CHAMOMILE, CORN",,
Herbicide,Corn,"CHAMOMILE, FALSE",,
Herbicide,Soybeans,"CHAMOMILE, FALSE",,
Herbicide,Corn,CHARA,,
Herbicide,Corn,CHEAT,,
Herbicide,Soybeans,CHEAT,,
Herbicide,Corn,CHICKWEED,,
Herbicide,Soybeans,CHICKWEED,,
Herbicide,Corn,"CHICKWEED, MOUSEEAR",,
Herbicide,Soybeans,"CHICKWEED, MOUSEEAR",,
Herbicide,Corn,CHICORY,,
Herbicide,Soybeans,CHICORY,,
Herbicide,Soybeans,CHINABERRY,,
Herbicide,Corn,CHOLLA,,
Herbicide,Soybeans,CHOLLA,,
Herbicide,Corn,CHRISTMASBERRY,,
Herbicide,Soybeans,CHRISTMASBERRY,,
Herbicide,Corn,"CHRYSTHANTHEMUM, COSTMARY",,
Herbicide,Corn,CINQUEFOIL,,
Herbicide,Corn,"CINQUEFOIL, SHRUBBY",,
Herbicide,Soybeans,"CINQUEFOIL, SHRUBBY",,
Herbicide,Corn,"CINQUEFOIL, SULFUR",,
Herbicide,Corn,CITRONMELON,,
Herbicide,Soybeans,CITRONMELON,,
Herbicide,Corn,CLOVER,,Trifolium
Herbicide,Soybeans,CLOVER,,
Herbicide,Corn,"CLOVER, BUFFALO",,
Herbicide,Soybeans,"CLOVER, BUFFALO",,
Herbicide,Corn,"CLOVER, CRIMSON",,
Herbicide,Soybeans,"CLOVER, CRIMSON",,
Herbicide,Corn,"CLOVER, RED",,
Herbicide,Soybeans,"CLOVER, RED",,
Herbicide,Corn,"CLOVER, WHITE",,
Herbicide,Soybeans,"CLOVER, WHITE",,
Herbicide,Corn,"COCKLE, CORN",,
Herbicide,Soybeans,"COCKLE, CORN",,
Herbicide,Corn,COCKLEBUR,,Xanthium
Herbicide,Soybeans,COCKLEBUR,,
Herbicide,Corn,"COCKLEBUR, SPINY",,
Herbicide,Soybeans,"COCKLEBUR, SPINY",,
Herbicide,Corn,COGONGRASS,,
Herbicide,Corn,"CONEFLOWER, PRAIRIE",,
Herbicide,Corn,COPPERLEAF,,
Herbicide,Soybeans,COPPERLEAF,,
Herbicide,Corn,"COPPERLEAF, HOPHORNBEAM",,
Herbicide,Soybeans,"COPPERLEAF, HOPHORNBEAM",,
Herbicide,Corn,"COPPERLEAF, VIRGINIA",,
Herbicide,Soybeans,"COPPERLEAF, VIRGINIA",,
Herbicide,Corn,COPPERWEED,,
Herbicide,Soybeans,COPPERWEED,,
Herbicide,Corn,"COREOPSIS, PLAINS",,
Herbicide,Soybeans,"COREOPSIS, PLAINS",,
Herbicide,Corn,"CORN, VOLUNTEER",,
Herbicide,Soybeans,"CORN, VOLUNTEER",,
Herbicide,Corn,CORNFLOWER,,
Herbicide,Soybeans,CORNFLOWER,,
Herbicide,Corn,"COTTON, VOLUNTEER",,
Herbicide,Soybeans,"COTTON, VOLUNTEER",,
Herbicide,Corn,COWCOCKLE,,
Herbicide,Soybeans,COWCOCKLE,,
Herbicide,Corn,COWPEA,,
Herbicide,Soybeans,COWPEA,,
Herbicide,Corn,CRABGRASS,,Digitaria
Herbicide,Soybeans,CRABGRASS,,
Herbicide,Corn,"CRABGRASS, HAIRY",,
Herbicide,Soybeans,"CRABGRASS, HAIRY",,
Herbicide,Corn,"CRABGRASS, SMOOTH",,
Herbicide,Soybeans,"CRABGRASS, SMOOTH",,
Herbicide,Corn,"CRAZYWEED, LAMBERT",,
Herbicide,Soybeans,"CRAZYWEED, LAMBERT",,
Herbicide,Corn,CREEPER,,
Herbicide,Soybeans,CREEPER,,
Herbicide,Corn,"CRESS, HOARY",,
Herbicide,Soybeans,"CRESS, HOARY",,
Herbicide,Corn,"CROP, VOLUNTEER",,
Herbicide,Soybeans,"CROP, VOLUNTEER",,
Herbicide,Corn,CROTON,,
Herbicide,Soybeans,CROTON,,
Herbicide,Corn,"CROTON, TROPIC",,
Herbicide,Soybeans,"CROTON, TROPIC",,
Herbicide,Corn,"CROTON, WOOLLY",,
Herbicide,Soybeans,"CROTON, WOOLLY",,
Herbicide,Corn,CROWFOOTGRASS,,
Herbicide,Soybeans,CROWFOOTGRASS,,
Herbicide,Corn,CROWNBEARD,,
Herbicide,Soybeans,CROWNBEARD,,
Herbicide,Corn,CROWNVETCH,,
Herbicide,Corn,"CUCUMBER, WILD",,Cucumis
Herbicide,Soybeans,"CUCUMBER, WILD",,
Herbicide,Corn,CUDWEED,,
Herbicide,Soybeans,CUDWEED,,
Herbicide,Corn,"CUDWEED, PURPLE",,
Herbicide,Soybeans,"CUDWEED, PURPLE",,
Herbicide,Corn,CUPGRASS,,
Herbicide,Soybeans,CUPGRASS,,
Herbicide,Corn,"CUPGRASS, PRAIRIE",,
Herbicide,Soybeans,"CUPGRASS, PRAIRIE",,
Herbicide,Corn,"CUPGRASS, WOOLLY",,
Herbicide,Soybeans,"CUPGRASS, WOOLLY",,
Herbicide,Corn,CURLY PONDWEED,,
Herbicide,Soybeans,CURLY PONDWEED,,
Herbicide,Corn,CUTGRASS,,
Herbicide,Soybeans,CUTGRASS,,
Herbicide,Corn,"CUTGRASS, GIANT",,
Herbicide,Soybeans,"CUTGRASS, GIANT",,
Herbicide,Corn,"CUTGRASS, RICE",,
Herbicide,Soybeans,"CUTGRASS, RICE",,
Herbicide,Corn,DAISY,,
Herbicide,Soybeans,DAISY,,
Herbicide,Corn,"DAISY, FIELD",,
Herbicide,Soybeans,"DAISY, FIELD",,
Herbicide,Corn,DALLISGRASS,,
Herbicide,Soybeans,DALLISGRASS,,
Herbicide,Corn,DANDELION,,Taraxacum
Herbicide,Soybeans,DANDELION,,
Herbicide,Corn,DARNEL,,
Herbicide,Soybeans,DARNEL,,
Herbicide,Corn,DAYFLOWER,,
Herbicide,Soybeans,DAYFLOWER,,
Herbicide,Corn,"DAYFLOWER,  ASIATIC",,
Herbicide,Soybeans,"DAYFLOWER,  ASIATIC",,
Herbicide,Corn,"DAYFLOWER, BENGHAL",,
Herbicide,Soybeans,"DAYFLOWER, BENGHAL",,
Herbicide,Corn,"DEADNETTLE, PURPLE",,
Herbicide,Soybeans,"DEADNETTLE, PURPLE",,
Herbicide,Corn,DEVIL'S-CLAW,,
Herbicide,Soybeans,DEVIL'S-CLAW,,
Herbicide,Corn,DEVILS GUT,,
Herbicide,Corn,"DEWBERRY, SOUTHERN",,
Herbicide,Soybeans,"DEWBERRY, SOUTHERN",,
Herbicide,Corn,DICHONDRA,,
Herbicide,Soybeans,DICHONDRA,,
Herbicide,Soybeans,"DITCHGRASS, SPIRAL",,
Herbicide,Corn,DOCK,,
Herbicide,Soybeans,DOCK,,
Herbicide,Corn,"DOCK, CURLY",,Rumex
Herbicide,Soybeans,"DOCK, CURLY",,
Herbicide,Corn,"DOCK, SOUR",,
Herbicide,Soybeans,"DOCK, SOUR",,
Herbicide,Corn,DODDER,,
Herbicide,Soybeans,DODDER,,
Herbicide,Corn,DOGBANE,,
Herbicide,Soybeans,DOGBANE,,
Herbicide,Corn,DOGFENNEL,,
Herbicide,Soybeans,DOGFENNEL,,
Herbicide,Corn,DOGWEED,,
Herbicide,Soybeans,DOGWEED,,
Herbicide,Corn,DOGWOOD,,
Herbicide,Soybeans,DOGWOOD,,
Herbicide,Soybeans,DOLLARWEED,,
Herbicide,Corn,DOVEWEED,,
Herbicide,Soybeans,DOVEWEED,,
Herbicide,Corn,"DRAGONHEAD, AMERICAN",,
Herbicide,Corn,DUCKSALAD,,
Herbicide,Soybeans,DUCKSALAD,,
Herbicide,Corn,DUCKWEED,,
Herbicide,Soybeans,DUCKWEED,,
Herbicide,Corn,ECLIPTA,,
Herbicide,Soybeans,ECLIPTA,,
Herbicide,Corn,ELM,,
Herbicide,Corn,"ELODEA, COMMON WATERWEED",,
Herbicide,Soybeans,"ELODEA, COMMON WATERWEED",,
Herbicide,Corn,EVENINGPRIMROSE,,Oenothera
Herbicide,Soybeans,EVENINGPRIMROSE,,
Herbicide,Corn,"EVERLASTING, PEARLY",,
Herbicide,Corn,FALSE RAGWEED,,
Herbicide,Soybeans,FALSE RAGWEED,,
Herbicide,Corn,FALSEFLAX,,
Herbicide,Soybeans,FALSEFLAX,,
Herbicide,Corn,FERN,,
Herbicide,Corn,FESCUE,,
Herbicide,Soybeans,FESCUE,,
Herbicide,Corn,"FESCUE, RATTAIL",,
Herbicide,Soybeans,"FESCUE, RATTAIL",,
Herbicide,Corn,"FESCUE, RED",,
Herbicide,Soybeans,"FESCUE, RED",,
Herbicide,Corn,"FESCUE, SHEEP",,
Herbicide,Soybeans,"FESCUE, SHEEP",,
Herbicide,Corn,"FESCUE, SIXWEEKS",,
Herbicide,Soybeans,"FESCUE, SIXWEEKS",,
Herbicide,Corn,"FESCUE, TALL",,
Herbicide,Soybeans,"FESCUE, TALL",,
Herbicide,Soybeans,FIDDLENECK,,
Herbicide,Corn,FIELDCRESS,,
Herbicide,Soybeans,FIELDCRESS,,
Herbicide,Corn,FILAREE,,
Herbicide,Corn,"FILAREE, REDSTEM",,
Herbicide,Soybeans,"FILAREE, REDSTEM",,
Herbicide,Corn,"FINGERGRASS, FEATHER",,
Herbicide,Soybeans,"FINGERGRASS, FEATHER",,
Herbicide,Corn,FIRE BUSH,,
Herbicide,Soybeans,FIRE BUSH,,
Herbicide,Corn,FIREWEED,,
Herbicide,Soybeans,FIREWEED,,
Herbicide,Corn,FIREWHEEL,,
Herbicide,Soybeans,FIREWHEEL,,
Herbicide,Corn,"FLATSEDGE, RICEFIELD",,
Herbicide,Corn,"FLAX, VOLUNTEER",,
Herbicide,Soybeans,"FLAX, VOLUNTEER",,
Herbicide,Corn,FLEABANE,,
Herbicide,Soybeans,FLEABANE,,
Herbicide,Corn,"FLEABANE, DAISY",,
Herbicide,Soybeans,"FLEABANE, DAISY",,
Herbicide,Corn,"FLEABANE, HAIRY",,
Herbicide,Soybeans,"FLEABANE, HAIRY",,
Herbicide,Corn,FLIXWEED,,
Herbicide,Soybeans,FLIXWEED,,
Herbicide,Corn,FOGFRUIT,,
Herbicide,Soybeans,FOGFRUIT,,
Herbicide,Corn,FOUR O'CLOCK,,
Herbicide,Corn,FOXTAIL,,Setaria
Herbicide,Soybeans,FOXTAIL,,
Herbicide,Corn,"FOXTAIL, BRISTLY",,
Herbicide,Soybeans,"FOXTAIL, BRISTLY",,
Herbicide,Corn,"FOXTAIL, CAROLINA",,
Herbicide,Soybeans,"FOXTAIL, CAROLINA",,
Herbicide,Corn,"FOXTAIL, GIANT",,Setaria
Herbicide,Soybeans,"FOXTAIL, GIANT",,
Herbicide,Corn,"FOXTAIL, GREEN",,Setaria
Herbicide,Soybeans,"FOXTAIL, GREEN",,
Herbicide,Corn,"FOXTAIL, YELLOW",,
Herbicide,Soybeans,"FOXTAIL, YELLOW",,
Herbicide,Corn,GALINSOGA,,
Herbicide,Soybeans,GALINSOGA,,
Herbicide,Corn,"GALINSOGA, HAIRY",,
Herbicide,Corn,"GALINSOGA, SMALLFLOWER",,
Herbicide,Soybeans,"GALINSOGA, SMALLFLOWER",,
Herbicide,Corn,GALLBERRY,,
Herbicide,Corn,"GARLIC, WILD",,
Herbicide,Soybeans,"GARLIC, WILD",,
Herbicide,Corn,"GERANIUM, CAROLINA",,
Herbicide,Soybeans,"GERANIUM, CAROLINA",,
Herbicide,Corn,"GERANIUM, CUTLEAF",,
Herbicide,Soybeans,"GERANIUM, CUTLEAF",,
Herbicide,Corn,"GERANIUM, DOVEFOOT",,
Herbicide,Soybeans,"GERANIUM, DOVEFOOT",,
Herbicide,Corn,"GHERKIN, WEST INDIAN",,
Herbicide,Soybeans,"GHERKIN, WEST INDIAN",,
Herbicide,Corn,"GOATGRASS, JOINTED",,
Herbicide,Soybeans,"GOATGRASS, JOINTED",,
Herbicide,Corn,GOLDENROD,,
Herbicide,Soybeans,GOLDENROD,,
Herbicide,Corn,"GOLDENROD, CANADA",,
Herbicide,Soybeans,"GOLDENROD, CANADA",,
Herbicide,Soybeans,GOOSEBERRY,,
Herbicide,Corn,GOOSEFOOT,,
Herbicide,Soybeans,GOOSEFOOT,,
Herbicide,Corn,"GOOSEFOOT, NETTLELEAF",,
Herbicide,Corn,GOOSEGRASS,,
Herbicide,Soybeans,GOOSEGRASS,,
Herbicide,Corn,GORSE,,
Herbicide,Soybeans,GORSE,,
Herbicide,Corn,GOURD,,
Herbicide,Soybeans,GOURD,,
Herbicide,Corn,"GRASS, BARLEY",,
Herbicide,Soybeans,"GRASS, BARLEY",,
Herbicide,Corn,"GRASS, CARPET",,
Herbicide,Soybeans,"GRASS, CARPET",,
Herbicide,Corn,"GRASS, EASTERN GAMA",,
Herbicide,Soybeans,"GRASS, EASTERN GAMA",,
Herbicide,Corn,"GRASS, NORTH AFRICA",,
Herbicide,Corn,"GRASS, RABBIT-FOOT",,
Herbicide,Soybeans,"GRASS, RABBIT-FOOT",,
Herbicide,Corn,"GRASS, TIGER",,
Herbicide,Soybeans,"GRASS, TIGER",,
Herbicide,Corn,"GRASS, TUMBLE WINDMILL",,
Herbicide,Soybeans,"GRASS, TUMBLE WINDMILL",,
Herbicide,Corn,"GRASSES, ALL",,
Herbicide,Soybeans,"GRASSES, ALL",,
Herbicide,Corn,"GRASSES, ANNUAL",,
Herbicide,Soybeans,"GRASSES, ANNUAL",,
Herbicide,Corn,"GRASSES, PERENNIAL",,
Herbicide,Soybeans,"GRASSES, PERENNIAL",,
Herbicide,Corn,GREASEWOOD,,
Herbicide,Corn,GREENBRIAR,,
Herbicide,Soybeans,GREENBRIAR,,
Herbicide,Corn,GROMWELL,,
Herbicide,Soybeans,GROMWELL,,
Herbicide,Corn,"GROMWELL, CORN",,
Herbicide,Soybeans,"GROMWELL, CORN",,
Herbicide,Corn,GROUNDCHERRY,,
Herbicide,Soybeans,GROUNDCHERRY,,
Herbicide,Corn,GROUNDSEL,,
Herbicide,Soybeans,GROUNDSEL,,
Herbicide,Corn,GUINEAGRASS,,
Herbicide,Soybeans,GUINEAGRASS,,
Herbicide,Corn,GUMWEED,,
Herbicide,Soybeans,GUMWEED,,
Herbicide,Corn,HACKBERRY,,
Herbicide,Soybeans,HAWKSBEARD,,
Herbicide,Soybeans,"HAWKSBEARD, NARROWLEAF",,
Herbicide,Corn,HAWKWEED,,
Herbicide,Soybeans,HAWKWEED,,
Herbicide,Corn,"HAWKWEED, YELLOW",,
Herbicide,Soybeans,"HAWKWEED, YELLOW",,
Herbicide,Corn,HAWTHORN,,
Herbicide,Soybeans,HAWTHORN,,
Herbicide,Soybeans,HEDGEMUSTARD,,
Herbicide,Corn,"HEDGENETTLE, WOOLLY",,
Herbicide,Soybeans,"HEDGENETTLE, WOOLLY",,
Herbicide,Corn,HEMPNETTLE,,
Herbicide,Soybeans,HEMPNETTLE,,
Herbicide,Corn,"HEMPVINE, CLIMBING",,
Herbicide,Soybeans,"HEMPVINE, CLIMBING",,
Herbicide,Corn,"HENBANE, BLACK",,
Herbicide,Soybeans,"HENBANE, BLACK",,
Herbicide,Corn,HENBIT,,
Herbicide,Soybeans,HENBIT,,
Herbicide,Corn,HONEYLOCUST,,
Herbicide,Corn,HONEYSUCKLE,,
Herbicide,Soybeans,HONEYSUCKLE,,
Herbicide,Corn,HONEYVINE,,
Herbicide,Soybeans,HONEYVINE,,
Herbicide,Soybeans,HORNPOPPY,,
Herbicide,Corn,HORSEMINT,,
Herbicide,Soybeans,HORSEMINT,,
Herbicide,Corn,HORSENETTLE,,
Herbicide,Soybeans,HORSENETTLE,,
Herbicide,Corn,"HORSENETTLE, WESTERN",,
Herbicide,Corn,HORSETAIL,,
Herbicide,Soybeans,HORSETAIL,,
Herbicide,Corn,HORSEWEED,,
Herbicide,Soybeans,HORSEWEED,,
Herbicide,Corn,HOUNDSTONGUE,,
Herbicide,Corn,HUCKLEBERRY,,
Herbicide,Soybeans,HUCKLEBERRY,,
Herbicide,Corn,HYDRILLA,,
Herbicide,Soybeans,HYDRILLA,,
Herbicide,Corn,"HYSSOP, CAROLINA WATER",,
Herbicide,Soybeans,"HYSSOP, CAROLINA WATER",,
Herbicide,Soybeans,INCREASE SUGAR,,
Herbicide,Corn,INDIANGRASS,,
Herbicide,Corn,INDIGO,,
Herbicide,Soybeans,INDIGO,,
Herbicide,Corn,"INDIGO, HAIRY",,
Herbicide,Corn,IRIS,,
Herbicide,Soybeans,IRIS,,
Herbicide,Corn,IRONWEED,,
Herbicide,Soybeans,IRONWEED,,
Herbicide,Corn,ITCHGRASS,,
Herbicide,Soybeans,ITCHGRASS,,
Herbicide,Corn,"IVY, GROUND",,
Herbicide,Soybeans,"IVY, GROUND",,
Herbicide,Corn,"JACOB'S-LADDER, BLUE",,
Herbicide,Soybeans,"JACOB'S-LADDER, BLUE",,
Herbicide,Soybeans,"JESSAMINE, CAROLINA",,
Herbicide,Corn,JIMSONWEED,,
Herbicide,Soybeans,JIMSONWEED,,
Herbicide,Corn,JOB'S-TEARS,,
Herbicide,Soybeans,JOB'S-TEARS,,
Herbicide,Corn,JOHNSONGRASS,,
Herbicide,Soybeans,JOHNSONGRASS,,
Herbicide,Corn,"JOINTVETCH, NORTHERN",,
Herbicide,Soybeans,"JOINTVETCH, NORTHERN",,
Herbicide,Corn,JUNGLERICE,,
Herbicide,Corn,JUNIPER,,
Herbicide,Soybeans,JUNIPER,,
Herbicide,Soybeans,KIKUYUGRASS,,
