INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,DTXCID,INCHIKEY,IUPAC_NAME,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
60571,CASRN,DTXSID9020453,Dieldrin,60-57-1,DTXCID30196607,DFBKLUNHFCTMDC-PICURKEMSA-N,"rel-(1aR,2R,2aS,6R,6aR,7S,7aS)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphtho[2,3-b]oxirene (incorrect configuration definition!)",C12H8Cl6O,380.9,377.8706311,918.333,384.804,4.31519E-7,1.842,0.55,8.07235E-8,176.016,173.786,0.019,0.0000283792,N/A,N/A,N/A,N/A,0.00000224388,0.00000260016,7.01837E-13,8099.26,333.114,329.999,0.00000823022,44.1758,8.56091,12041.2,5.11788,201.703,N/A,N/A,0.00000588443,5.42118E-7
61314,CASRN,DTXSID6034897,Sodium 1-naphthaleneacetate,61-31-4,DTXCID4014897,CJUUXVFWKYRHAR-UHFFFAOYSA-M,Sodium (naphthalen-1-yl)acetate,C12H9NaO2,208.192,208.05002381,4.14954,330.679,0.0000454988,1.248,0.841,0.0000406443,187.826,118.808,0.407,0.00944061,43.239,137.262,0.000280543,18.0302,0.0000239883,0.00143549,1.2901E-11,3.68433,5.2659,330.037,1.74174E-8,0.147304,9.2215,296.026,-0.941897,166.114,N/A,N/A,0.0000111594,0.000348538
61825,CASRN,DTXSID0020076,Amitrole,61-82-5,DTXCID9076,KLSJWNVTNUYHDU-UHFFFAOYSA-N,"1H-1,2,4-Triazol-3-amine",C2H4N4,84.082,84.043596145,0.58479,237.6,N/A,1.353,0.726,N/A,170.407,126.015,0.218,0.00847227,N/A,N/A,N/A,N/A,N/A,0.552077,2.15305E-11,3.09109,4.50172,258.099,3.07176E-8,0.139703,7.08539,17.7237,-0.920745,158.926,10.72,4.3,4.40587E-7,3.3032
62737,CASRN,DTXSID5020449,Dichlorvos,62-73-7,DTXCID90449,OEBRKCOSUFCWJD-UHFFFAOYSA-N,"2,2-Dichloroethenyl dimethyl phosphate",C4H7Cl2O4P,220.97,219.9459011,3.75837,215.618,2.00447E-8,1.378,0.71,0.000190108,86.044,-32.427,0.617,0.0000564937,N/A,133.706,N/A,2.73527,0.047863,0.159221,3.60666E-11,0.502026,4.1387,234.005,4.06189E-9,4.06008,6.07272,46.6523,1.42945,-59.8885,N/A,N/A,0.0157875,0.0490453
63252,CASRN,DTXSID9020247,"1-Naphthalenol, 1-(N-methylcarbamate)",63-25-2,DTXCID10247,CVXBEEMKQHEXEN-UHFFFAOYSA-N,Naphthalen-1-yl methylcarbamate,C12H11NO2,201.225,201.078978598,4.69894,311.019,0.00000433511,1.131,0.784,0.0000224905,148.896,106.447,0.655,0.00146893,N/A,N/A,0.000118304,29.4442,0.00000562341,0.000414954,1.41185E-11,8.88763,3.53203,314.943,1.38246E-8,0.0661502,9.12776,250.472,2.35802,144.908,N/A,N/A,0.0000013637,0.00031257
65850,CASRN,DTXSID6020143,Benzoic acid,65-85-0,DTXCID80143,WPYMKLBDIGXBTP-UHFFFAOYSA-N,Benzoic acid,C7H6O2,122.123,122.036779433,1.47571,252.299,0.000887156,1.201,0.337,0.000831764,124.866,122.5,-0.023,0.0103276,N/A,N/A,0.00387258,N/A,0.000809096,0.0501187,2.28764E-12,3.72629,6.6407,249.237,2.66769E-7,0.262557,5.90758,31.66,1.87054,122.349,4.18,N/A,0.00070699,0.331734
66819,CASRN,DTXSID6024882,Cycloheximide,66-81-9,DTXCID204882,YPHMISFOHDHNIV-FSZOTQKASA-N,"4-{(2R)-2-[(1S,3S,5S)-3,5-Dimethyl-2-oxocyclohexyl]-2-hydroxyethyl}piperidine-2,6-dione",C15H23NO4,281.352,281.162708225,1.57398,406.409,0.000981748,1.174,0.863,0.0000372392,272.376,153.223,-0.116,0.0000914113,N/A,158.79,0.00042462,N/A,1.06414E-8,0.00522396,1.75637E-11,2.81761,4.71749,299.743,1.51995E-11,0.807135,9.27993,50.9617,0.547757,119.121,N/A,N/A,4.83028E-10,0.0739048
72208,CASRN,DTXSID6020561,Endrin,72-20-8,DTXCID90196608,DFBKLUNHFCTMDC-GKRDHZSOSA-N,"rel-(1aR,2R,2aR,6S,6aS,7S,7aS)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphtho[2,3-b]oxirene (incorrect configuration definition!)",C12H8Cl6O,380.9,377.8706311,885.116,384.804,4.21697E-7,1.842,0.55,6.54636E-8,176.016,167.953,0.019,0.000043451,N/A,N/A,N/A,N/A,0.00000224388,0.0000025293,7.01837E-13,8099.26,333.114,329.999,0.00000823022,44.1758,8.56091,12041.2,5.11788,201.703,N/A,N/A,0.00000588443,5.42118E-7
72435,CASRN,DTXSID9020827,Methoxychlor,72-43-5,DTXCID30827,IAKOZHOLGAGEJT-UHFFFAOYSA-N,"1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-methoxybenzene)",C16H15Cl3O2,345.64,344.0137628,628.058,358.501,7.31139E-7,1.393,0.876,5.94292E-7,199.543,79.002,0.244,N/A,N/A,134.214,0.00000362243,15.6315,0.00000242103,7.94328E-7,1.63598E-11,317.991,5.09595,346.007,2.05176E-7,28.1939,9.1736,79308.3,5.08015,86.9644,N/A,N/A,0.00000616014,2.45045E-7
72548,CASRN,DTXSID4020373,"p,p'-DDD",72-54-8,DTXCID60373,AHJKRLASYNVKDZ-UHFFFAOYSA-N,"1,1'-(2,2-Dichloroethane-1,1-diyl)bis(4-chlorobenzene)",C14H10Cl4,320.03,317.9536611,6606.93,357.649,2.0797E-7,1.387,0.409,2.97167E-7,179.613,82.092,0.391,0.00121339,44.493,125.064,0.00000139637,20.0447,0.00000826038,3.23594E-7,7.04627E-13,7808.58,11.6922,350.046,0.00000663773,274.473,10.0191,16352.6,6.12894,105.291,N/A,N/A,0.00000135212,2.80861E-7
72560,CASRN,DTXSID4020589,"p,p'-Ethyl-DDD",72-56-0,DTXCID80589,QFMDFTQOJHFVNR-UHFFFAOYSA-N,"1,1'-(2,2-Dichloroethane-1,1-diyl)bis(4-ethylbenzene)",C18H20Cl2,307.26,306.094206,665.273,356.405,2.62422E-7,1.151,0.505,4.29536E-7,181.312,52.35,N/A,0.005188,39.834,127.895,0.0000018578,23.9332,0.00000368129,0.00000177419,1.67512E-11,1257.76,10.0148,364.699,0.0000194175,2.11643,9.65891,50350.2,6.09373,56.0579,N/A,N/A,0.00000721517,1.72781E-7
75605,CASRN,DTXSID7020508,Dimethylarsinic acid,75-60-5,DTXCID90508,OGGXGZAMXPVRFZ-UHFFFAOYSA-N,Dimethylarsinic acid,C2H7AsO2,137.998,137.966199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75990,CASRN,DTXSID2021575,Dalapon,75-99-0,DTXCID201575,NDUPDOJHUQKPAG-UHFFFAOYSA-N,"2,2-Dichloropropanoic acid",C3H4Cl2O2,142.96,141.9588348,1.30017,196.641,0.000504661,1.415,0.93,0.00190108,95.284,37.864,0.533,0.00302691,32.635,131.571,0.00128529,2.55859,0.0707946,0.672977,1.26249E-12,7.23017,6.6196,187.583,6.73057E-8,0.222148,4.62328,1.58726,0.779928,-4.67848,N/A,N/A,0.151815,3.62949
76062,CASRN,DTXSID0020315,Trichloronitromethane,76-06-2,DTXCID00315,LFHISGNCFUNFFM-UHFFFAOYSA-N,Trichloro(nitro)methane,CCl3NO2,164.37,162.8994613,3.29,116.58,0.00707946,1.61,0.59,0.00011749,45.39,1.71,0.82,0.00245471,30.67,131.08,0.000060256,1.14815,7.94328,0.0323594,4.96914E-15,19.1064,4.62777,112.163,0.00206106,2.61812,3.07711,61.6589,2.08833,-63.9305,N/A,N/A,24.0246,0.0180425
76448,CASRN,DTXSID3020679,Heptachlor,76-44-8,DTXCID70679,FRCCEHPWNOQAEU-UHFFFAOYSA-N,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-tetrahydro-1H-4,7-methanoindene",C10H5Cl7,373.3,369.8210941,4436.09,317.389,3.81066E-7,1.813,0.441,2.07491E-7,189.829,108.975,0.052,0.00127938,N/A,N/A,N/A,N/A,0.0000437522,9.24698E-8,5.9432E-11,8708.86,146.66,310.062,0.000292218,28.2576,7.7734,23997.2,6.09905,95.5231,N/A,N/A,0.000395431,3.81715E-7
76879,CASRN,DTXSID1021409,Triphenyltin hydroxide,76-87-9,DTXCID501409,BFWMWWXRWVJXSE-UHFFFAOYSA-M,Triphenylstannanol,C18H16OSn,367.035,368.022317,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78342,CASRN,DTXSID9020534,Dioxathion,78-34-2,DTXCID30534,VBKKVDGJXVOLNE-UHFFFAOYSA-N,"S,S'-1,4-Dioxane-2,3-diyl O,O,O',O'-tetraethyl bis(phosphorodithioate)",C12H26O6P2S4,456.52,456.008747249,12.331,N/A,3.58922E-10,1.368,N/A,0.00000489779,231.487,-5.391,0.583,0.000108893,N/A,N/A,N/A,N/A,2.5293E-7,0.0000109648,1.77032E-11,238.474,378.246,428.152,0.00000152524,1.44768,11.6804,7340.49,3.21506,-19.9256,N/A,N/A,0.00000301143,0.00000340202
78579,CASRN,DTXSID9042120,Menazon,78-57-9,DTXCID7022120,SUYHYHLFUHHVJQ-UHFFFAOYSA-N,"S-[(4,6-Diamino-1,3,5-triazin-2-yl)methyl] O,O-dimethyl phosphorodithioate",C6H12N5O2PS2,281.29,281.017003992,3.40408,N/A,6.76083E-7,1.462,0.698,0.000111173,257.992,110.188,0.799,0.00308319,N/A,N/A,N/A,N/A,6.08135E-8,0.00199526,1.4228E-11,7.27743,140.378,322.027,3.90536E-7,0.521028,9.40374,45.6431,0.934892,165.021,N/A,N/A,9.71837E-7,0.00085144
82688,CASRN,DTXSID2021105,Pentachloronitrobenzene,82-68-8,DTXCID301105,LKPLKUMXSAEKID-UHFFFAOYSA-N,"1,2,3,4,5-Pentachloro-6-nitrobenzene",C6Cl5NO2,295.32,292.8371667,716.143,319.746,0.00000249459,1.786,0.179,4.48745E-7,146.586,108.434,0.4,0.00803526,N/A,116.097,0.00000445656,3.04088,0.000218776,0.00000284446,2.37636E-13,550.819,12.2829,327.939,0.000939027,0.677731,7.56294,9556.21,4.63975,143.893,N/A,N/A,0.0000500853,0.00000150719
83794,CASRN,DTXSID6021248,Rotenone,83-79-4,DTXCID901248,JUVIOZPCNVVQFO-HBGVWJBISA-N,"(2R,6aS,12aS)-8,9-Dimethoxy-2-(prop-1-en-2-yl)-1,2,12,12a-tetrahydrofuro[2',3':7,8][1]benzopyrano[2,3-c][1]benzopyran-6(6aH)-one",C23H22O6,394.423,394.141638428,35.8096,523.472,0.00000236592,1.293,0.863,9.81748E-8,235.279,175.545,0.333,0.000709578,N/A,N/A,N/A,N/A,1.18032E-10,0.0000248313,1.23629E-10,25.7136,3.36189,425.934,1.81047E-9,0.257335,11.695,10020,4.09762,176.003,N/A,N/A,1.67365E-10,0.0000129423
86500,CASRN,DTXSID3020122,Azinphos-methyl,86-50-0,DTXCID10122,CJJOSEISRRTUQB-UHFFFAOYSA-N,"O,O-Dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] phosphorodithioate",C10H12N3O3PS2,317.32,317.005770604,10.3514,N/A,2.75423E-8,1.377,0.503,N/A,206.365,82.688,0.861,0.000159956,N/A,N/A,N/A,N/A,1.8239E-8,0.0000433511,1.68308E-11,9.26715,95.264,334.654,9.963E-8,0.268986,9.82933,190.743,2.74875,72.9568,N/A,N/A,0.0000015968,0.0000728921
86873,CASRN,DTXSID8020915,1-Naphthaleneacetic acid,86-87-3,DTXCID60915,PRPINYUDVPFIRX-UHFFFAOYSA-N,(Naphthalen-1-yl)acetic acid,C12H10O2,186.21,186.068079562,4.14954,330.679,0.0000454988,1.248,0.841,0.0000406443,187.826,124.42,0.574,0.0103753,43.239,137.262,0.000280543,18.0302,0.0000239883,0.000946237,1.59057E-11,2.95203,4.5899,292.834,1.16607E-8,0.213248,8.65308,158.459,2.2431,134.935,4.24,N/A,0.0000914108,0.00101104
87865,CASRN,DTXSID7021106,Pentachlorophenol,87-86-5,DTXCID701106,IZUPBVBPLAPZRR-UHFFFAOYSA-N,Pentachlorophenol,C6HCl5O,266.32,263.8470032,899.498,300.994,8.31764E-7,1.764,0.371,0.00000135831,135.507,127.358,-0.012,0.000476431,N/A,117.74,0.00000414954,12.5314,0.000225424,0.0000179887,2.0018E-13,524.372,20.8946,309.422,2.45947E-8,0.631343,8.45978,19871.5,5.11878,173.786,N/A,N/A,0.000110482,0.000151944
88857,CASRN,DTXSID3020207,Dinoseb,88-85-7,DTXCID30207,OWZPCEFYPSAJFR-UHFFFAOYSA-N,"2-(Butan-2-yl)-4,6-dinitrophenol",C10H12N2O5,240.215,240.074621494,11.1944,351.476,0.0000054325,1.361,0.918,0.00000269153,150.028,78.466,0.451,0.000214289,N/A,144.786,0.0000106905,14.5211,0.00000166725,0.000432514,1.06391E-11,61.6372,4.56927,332.006,6.29344E-8,0.182175,8.75898,503.534,3.55916,40.6573,N/A,N/A,0.0000683956,0.000274628
93652,CASRN,DTXSID9024194,(+/-)-2-(4-Chloro-2-methylphenoxy)propionic acid,93-65-2,DTXCID904194,WNTGYJSOUMFZEP-UHFFFAOYSA-N,2-(4-Chloro-2-methylphenoxy)propanoic acid,C10H11ClO3,214.65,214.0396719,5.52077,312.482,0.000310456,1.284,0.691,0.0000762079,157.04,101.622,0.046,0.0039355,40.846,140.672,0.000163682,17.7828,0.000013122,0.00348337,1.3932E-11,3.69217,3.53297,297.982,1.65471E-9,0.0819801,8.6654,20.0971,3.12858,94.6045,N/A,N/A,0.0000190404,0.00741697
93721,CASRN,DTXSID0021387,"2-(2,4,5-Trichlorophenoxy)propionic acid",93-72-1,DTXCID901387,ZLSWBLPERHFHIS-UHFFFAOYSA-N,"2-(2,4,5-Trichlorophenoxy)propanoic acid",C9H7Cl3O3,269.5,267.9460772,9.90832,330.766,0.0000814704,1.529,0.754,0.0000260016,174.568,144.874,0.006,0.00238232,45.016,133.727,0.0000131522,31.1172,0.00000443609,0.000660693,1.15984E-11,3.18299,3.53748,321.868,1.59552E-9,0.169363,8.59486,56.4311,3.79814,181.349,N/A,N/A,0.00000744719,0.000356901
93754,CASRN,DTXSID3042471,Thioquinox,93-75-4,DTXCID1022471,ILERPRJWJPJZDN-UHFFFAOYSA-N,"2H-[1,3]Dithiolo[4,5-b]quinoxaline-2-thione",C9H4N2S3,236.33,235.953661659,N/A,N/A,N/A,N/A,0.781,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2524E-11,21.7924,24.0378,344.443,1.50437E-9,0.391302,9.16794,2457.29,3.02148,179.996,N/A,N/A,2.14816E-7,0.0000499325
94746,CASRN,DTXSID4024195,2-(4-Chloro-2-methylphenoxy)acetic acid,94-74-6,DTXCID304195,WHKUVVPPKQRRBV-UHFFFAOYSA-N,(4-Chloro-2-methylphenoxy)acetic acid,C9H9ClO3,200.62,200.0240218,2.95801,307.8,0.00030903,1.352,0.691,0.000160694,157.923,118.111,0.056,0.00323594,41.803,145.262,0.000225424,13.3045,0.0000138038,0.00436516,1.17055E-11,3.64045,3.54139,286.714,7.04143E-9,0.110027,8.53099,53.719,3.24334,120.032,N/A,N/A,0.00000582008,0.00952118
94757,CASRN,DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,DTXCID80442,OVSKIKFHRZPJSS-UHFFFAOYSA-N,"(2,4-Dichlorophenoxy)acetic acid",C8H6Cl2O3,221.03,219.9693995,4.61318,311.414,0.000200447,1.473,0.523,0.0000781628,167.216,132.353,0.031,0.00261818,45.206,142.278,0.000111173,19.0985,0.0000109901,0.00199986,8.50675E-12,3.33894,3.54877,300.498,2.95974E-9,0.214166,8.64937,45.9586,2.80925,140.55,N/A,N/A,2.88557E-7,0.00684596
98011,CASRN,DTXSID1020647,Furfural,98-01-1,DTXCID50647,HYBBIBNJHNGZAN-UHFFFAOYSA-N,Furan-2-carbaldehyde,C5H4O2,96.085,96.021129369,N/A,158.877,0.000413047,1.168,0.499,0.000855067,54.737,17.057,0.74,0.00376704,37.314,170.793,0.00382825,1.25314,4.0738,0.320627,3.51005E-11,5.82003,4.46415,153.401,1.9557E-7,0.195025,3.53218,20.9719,0.411074,-37.5329,N/A,N/A,2.21277,0.795421
98500,CASRN,DTXSID8035138,(4-Aminophenyl)arsonic acid,98-50-0,DTXCID6015138,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,(4-Aminophenyl)arsonic acid,C6H8AsNO3,217.056,216.972013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
99309,CASRN,DTXSID2020426,"1-Amino-2,6-dichloro-4-nitrobenzene",99-30-9,DTXCID60426,BIXZHMJUSMUDOQ-UHFFFAOYSA-N,"2,6-Dichloro-4-nitroaniline",C6H4Cl2N2O2,207.01,205.9649828,15.4882,321.659,0.00000737904,1.574,0.212,0.0000515229,156.247,130.321,0.783,0.0111429,N/A,151.226,0.0000530884,5.67545,0.0000555904,0.000311172,1.53217E-12,15.5603,4.95998,319.571,3.07775E-9,0.272927,8.46152,995.914,2.7987,190.812,N/A,-2.98,0.00000120818,0.000033186
101213,CASRN,DTXSID7020764,Chlorpropham,101-21-3,DTXCID10764,CWJSHJJYOPWUGX-UHFFFAOYSA-N,Propan-2-yl (3-chlorophenyl)carbamate,C10H12ClNO2,213.66,213.0556563,10.0693,294.205,0.00000570164,1.24,0.694,0.0000155239,111.914,71.739,0.5,0.0040738,N/A,N/A,0.000235505,14.9624,0.0000177828,0.000419759,1.56624E-11,32.4158,3.54249,284.138,4.39706E-9,0.0751531,9.02424,395.843,3.50695,41.0684,N/A,N/A,0.000179366,0.000436028
