INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1897456,CASRN,DTXSID0020319,Chlorothalonil,DTXCID20319,1897-45-6,CRQQGFGUEAVUIL-UHFFFAOYSA-N,"2,4,5,6-Tetrachlorobenzene-1,3-dicarbonitrile",C8Cl4N2,265.9,263.8815588,44.2,341.73,1.38038E-07,1.62,0.29,5.37032E-06,158.69,181.4,0.05,0.00489779,32.28,122.38,1.25893E-05,2.5704,0.000218776,2.29087E-05,2.83527E-12,63.2267,4.67662,349.957,2.00832E-06,1.85629,8.49259,1820.27,2.97569,249.868,N/A,N/A,5.72958E-07,2.4103E-06
12125212,CASRN,DTXSID601028144,Copper hydroxide,DTXCID501513726,12125-21-2,ZMHWUUMELDFBCZ-UHFFFAOYSA-M,N/A,CuHO,80.553,79.932338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20427592,CASRN,DTXSID6034473,Copper hydroxide (Cu(OH)2),DTXCID4014473,20427-59-2,JJLJMEJHUUYSSY-UHFFFAOYSA-L,Copper(2+) dihydroxide,CuH2O2,97.56,96.935077,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1332656,CASRN,DTXSID6034475,Dicopper chloride trihydroxide,DTXCID4014475,1332-65-6,SKQUUKNCBWILCD-UHFFFAOYSA-J,Copper(2+) chloride hydroxide (2/1/3),ClCu2H3O3,213.56,211.836268,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7758987,CASRN,DTXSID6034479,Copper sulfate,DTXCID4014479,7758-98-7,ARUVKPQLZAKDPS-UHFFFAOYSA-L,Copper(2+) sulfate,CuO4S,159.6,158.881328,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7758-99-8,CASRN,DTXSID9031066,"Copper(II) sulfate, pentahydrate",DTXCID7011066,7758-99-8,JZCCFEFSEZPSOG-UHFFFAOYSA-L,Copper(2+) sulfate--water (1/1/5),CuH10O9S,249.68,248.934151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1344-73-6,CASRN,DTXSID4034944,Basic copper sulfate,N/A,1344-73-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10257-54-2,CASRN,DTXSID9058284,Copper sulfate (CuSO4) monohydrate,DTXCID2032003,10257-54-2,CYKLGTUKGYURDP-UHFFFAOYSA-L,Copper(2+) sulfate--water (1/1/1),CuH2O5S,177.62,176.891892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94361065,CASRN,DTXSID0032601,Cyproconazole,DTXCID8012601,94361-06-5,UFNOUKDBUJZYDE-UHFFFAOYSA-N,"2-(4-Chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol",C15H18ClN3O,291.78,291.1138399,118.85,365.398,7.97995E-05,1.293,0.584,6.19441E-07,239.329,107.833,0.664,0.00460257,N/A,N/A,N/A,N/A,5.24807E-08,0.000289734,1.66375E-11,43.1516,3.44831,321.422,5.47602E-10,3.97091,10.6582,182.12,2.90198,107.543,N/A,N/A,2.60598E-07,0.000429129
119446683,CASRN,DTXSID4032372,Difenoconazole,DTXCID2012372,119446-68-3,BQYJATMQXGBDHF-UHFFFAOYSA-N,"1-({2-[2-Chloro-4-(4-chlorophenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl}methyl)-1H-1,2,4-triazole",C19H17Cl2N3O3,406.26,405.0646968,148.936,413.931,1.10662E-05,1.437,0.413,1.69434E-06,274.113,110.169,0.467,0.00254683,N/A,N/A,N/A,N/A,1.74985E-09,1.40281E-05,2.31739E-11,230.306,3.36235,335.579,4.93271E-06,2.38939,11.7315,4020.3,4.29715,76.1053,N/A,N/A,2.52914E-10,3.67506E-05
126833178,CASRN,DTXSID3032549,Fenhexamid,DTXCID1012549,126833-17-8,VDLGAVXLJYLFDH-UHFFFAOYSA-N,"N-(2,3-Dichloro-4-hydroxyphenyl)-1-methylcyclohexane-1-carboxamide",C14H17Cl2NO2,302.2,301.0636342,44.8745,413.678,8.09096E-06,1.375,0.874,1.23595E-06,223.926,168.026,0.396,0.00410204,N/A,150.175,7.63836E-06,103.753,3.77572E-09,1.8281E-05,1.69837E-11,95.8645,6.36354,333.322,1.59158E-10,0.707635,9.2171,4716.54,3.51253,221.12,N/A,N/A,3.43814E-08,6.66403E-05
668348,CASRN,DTXSID9058153,Fentin,DTXCID5031921,668-34-8,XBRCDWHXULVEFB-UHFFFAOYSA-N,Triphenylstannanylium,C18H15Sn,350.027,351.019029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76-87-9,CASRN,DTXSID1021409,Triphenyltin hydroxide,DTXCID501409,76-87-9,BFWMWWXRWVJXSE-UHFFFAOYSA-M,Triphenylstannanol,C18H16OSn,367.035,368.022317,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
79622596,CASRN,DTXSID7032551,Fluazinam,DTXCID5012551,79622-59-6,UZCGKGPEKUCDTF-UHFFFAOYSA-N,"3-Chloro-N-[3-chloro-2,6-dinitro-4-(trifluoromethyl)phenyl]-5-(trifluoromethyl)pyridin-2-amine",C13H4Cl2F6N4O4,465.09,463.951379,116.681,409.837,3.76704E-06,1.83,1.161,2.5527E-08,192.211,133.515,0.345,9.95405E-05,N/A,N/A,N/A,N/A,7.4131E-09,2.31206E-06,9.23844E-12,887296,4.6544,345.899,1.57861E-11,0.809563,10.7549,2031.62,4.00975,113.013,N/A,N/A,9.04397E-11,1.04164E-06
658066354,CASRN,DTXSID9058151,Fluopyram,DTXCID1031919,658066-35-4,KVDJTXBXMWJJEF-UHFFFAOYSA-N,N-{2-[3-Chloro-5-(trifluoromethyl)pyridin-2-yl]ethyl}-2-(trifluoromethyl)benzamide,C16H11ClF6N2O,396.72,396.0464097,152.757,360.836,6.5013E-06,1.474,1.022,6.01174E-07,208.146,92.096,0.234,0.00137088,N/A,N/A,N/A,N/A,5.34564E-07,2.51768E-05,1.3925E-11,125.214,3.5426,320.957,1.23278E-08,0.487784,9.77878,193.226,4.32771,132.444,N/A,N/A,2.16397E-08,3.79656E-05
361377299,CASRN,DTXSID2034625,Fluoxastrobin,DTXCID0014625,361377-29-9,UFEODZBUAFNAEU-NLRVBDNBSA-N,"(E)-1-(2-{[6-(2-Chlorophenoxy)-5-fluoropyrimidin-4-yl]oxy}phenyl)-1-(5,6-dihydro-1,4,2-dioxazin-3-yl)-N-methoxymethanimine",C21H16ClFN4O5,458.83,458.0793255,41.5911,N/A,2.06538E-06,N/A,0.776,N/A,N/A,95.652,0.528,N/A,N/A,N/A,N/A,N/A,2.10863E-08,1.40281E-06,1.33935E-11,346.403,4.25613,334.949,2.08987E-09,9.19494,11.6934,84917.5,4.0112,170.034,N/A,N/A,1.30376E-10,5.00952E-06
85509199,CASRN,DTXSID3024235,Flusilazole,DTXCID704235,85509-19-9,FQKUGOMFVDPBIZ-UHFFFAOYSA-N,"1-{[Bis(4-fluorophenyl)(methyl)silyl]methyl}-1H-1,2,4-triazole",C16H15F2N3Si,315.399,315.100330356,123.027,360.109,N/A,1.294,0.117,N/A,228.873,97.085,N/A,N/A,N/A,N/A,N/A,N/A,1.77419E-07,N/A,1.61573E-11,63.8364,200.596,348.793,2.70159E-07,0.625172,8.52515,1657.38,3.70142,54.0469,N/A,N/A,2.9314E-07,0.000149013
76674210,CASRN,DTXSID8040727,Flutriafol,DTXCID6020727,76674-21-0,JWUCHKBSVLQQCO-UHFFFAOYSA-N,"1-(2-Fluorophenyl)-1-(4-fluorophenyl)-2-(1H-1,2,4-triazol-1-yl)ethan-1-ol",C16H13F2N3O,301.297,301.102668377,72.778,389.51,3.63078E-05,1.412,0.541,1.52757E-05,244.451,119.283,0.701,0.00143219,N/A,N/A,N/A,N/A,2.64241E-08,5.21195E-05,1.61065E-11,21.8752,3.54072,324.746,5.12372E-09,0.867538,10.4119,75.8068,2.29094,129.956,N/A,N/A,5.44058E-11,0.000394801
907204313,CASRN,DTXSID6058215,Fluxapyroxad,DTXCID9031983,907204-31-3,SXSGXWCSHSVPGB-UHFFFAOYSA-N,"3-(Difluoromethyl)-1-methyl-N-(3',4',5'-trifluoro[1,1'-biphenyl]-2-yl)-1H-pyrazole-4-carboxamide",C18H12F5N3O,381.306,381.090052833,35.7273,398.297,3.4914E-06,1.465,0.819,7.07946E-08,266.832,110.927,0.547,0.000564937,N/A,N/A,N/A,N/A,6.53131E-09,1.42889E-06,1.38035E-11,52.1597,3.54064,328.05,9.19558E-09,0.616643,10.6211,469.408,4.47519,169.305,N/A,N/A,1.18577E-09,9.10637E-06
,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8018017,CASRN,DTXSID0034695,Mancozeb,N/A,8018-01-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12427382,CASRN,DTXSID9020794,Maneb,DTXCID70794,12427-38-2,YKSNLCVSTHTHJA-UHFFFAOYSA-L,"[{2-[(Sulfanylcarbonothioyl)amino]ethyl}carbamodithioato(2-)-kappa~2~S,S']manganese (non-preferred name)",C4H6MnN2S4,265.28,264.879427,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.581,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.49621E-11,6.59369,23.6227,358.212,1.46302E-10,0.118048,7.93926,508.346,-2.70445,207.044,N/A,N/A,1.91741E-06,0.772498
70630170,CASRN,DTXSID8032671,Metalaxyl-M,DTXCID6012671,70630-17-0,ZQEIXNIJLIKNTD-GFCCVEGCSA-N,"Methyl N-(2,6-dimethylphenyl)-N-(methoxyacetyl)-D-alaninate",C15H21NO4,279.336,279.14705816,17.1396,344.018,2.4322E-05,1.063,0.606,2.99916E-05,184.163,11.762,0.191,0.00905733,N/A,147.097,0.000211836,41.3047,4.63447E-06,0.00233884,2.15604E-11,8.25493,4.28575,299.892,3.92326E-09,0.198614,9.83674,37.2169,1.65024,67.2974,N/A,N/A,5.5709E-06,0.043674
1417782036,CASRN,DTXSID40894945,Mefentrifluconazole,DTXCID701324509,1417782-03-6,JERZEQUMJNCPRJ-UHFFFAOYSA-N,"2-[4-(4-Chlorophenoxy)-2-(trifluoromethyl)phenyl]-1-(1H-1,2,4-triazol-1-yl)propan-2-ol",C18H15ClF3N3O2,397.78,397.0804889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.7393E-11,121.967,3.54046,328.001,9.45659E-10,0.429491,10.9786,507.115,2.81267,102.434,N/A,N/A,1.33663E-08,3.20738E-06
125116236,CASRN,DTXSID4034497,Metconazole,DTXCID2014497,125116-23-6,XWPZUHJBOLQNMN-UHFFFAOYSA-N,"5-[(4-Chlorophenyl)methyl]-2,2-dimethyl-1-[(1H-1,2,4-triazol-1-yl)methyl]cyclopentan-1-ol",C17H22ClN3O,319.83,319.14514,60.3949,367.193,3.09742E-05,1.285,0.624,1.14288E-05,262.323,115.409,0.742,0.00957194,N/A,N/A,N/A,N/A,1.84502E-08,5.61048E-05,2.33241E-11,167.819,5.30793,319.225,5.75793E-08,1.70015,11.4045,1071,3.84953,111.454,N/A,N/A,9.26737E-08,6.69813E-05
88671890,CASRN,DTXSID8024315,Myclobutanil,DTXCID304315,88671-89-0,HZJKXKUJVSEEFU-UHFFFAOYSA-N,"2-(4-Chlorophenyl)-2-[(1H-1,2,4-triazol-1-yl)methyl]hexanenitrile",C15H17ClN4,288.78,288.1141743,103.514,396.923,7.92501E-06,1.248,0.554,1.65577E-05,246.156,95.825,0.709,0.00576766,N/A,N/A,N/A,N/A,1.25603E-07,3.82825E-05,1.66065E-11,33.7376,3.35398,339.227,3.18221E-07,2.23048,8.99596,501.959,2.9395,152.76,N/A,N/A,1.96376E-07,0.000480987
183675823,CASRN,DTXSID6058005,Penthiopyrad,DTXCID9031773,183675-82-3,PFFIDZXUXFLSSR-UHFFFAOYSA-N,1-Methyl-N-[2-(4-methylpentan-2-yl)thiophen-3-yl]-3-(trifluoromethyl)-1H-pyrazole-4-carboxamide,C16H20F3N3OS,359.41,359.127917939,112.202,393.22,2.23357E-05,1.329,0.833,N/A,215.398,112.87,0.274,N/A,N/A,N/A,N/A,N/A,1.08643E-07,1.18577E-05,1.3387E-11,24.5916,3.54425,340.095,1.77324E-09,0.407953,10.9181,667.192,4.48994,121.979,N/A,N/A,1.26407E-06,2.09236E-05
64742547,CASRN,DTXSID3028219,"Distillates, petroleum, hydrotreated heavy paraffinic",N/A,64742-54-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8002059,CASRN,DTXSID3027669,Petroleum,N/A,8002-05-9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7664382,CASRN,DTXSID5024263,Phosphoric acid,DTXCID804263,7664-38-2,NBIIXXVUZAFLBC-UHFFFAOYSA-N,Phosphoric acid,H3O4P,97.994,97.976895575,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10045-86-0,CASRN,DTXSID9035672,"Phosphoric acid, Iron(3+) salt (1:1)",DTXCID7015672,10045-86-0,WBJZTOZJJYAKHQ-UHFFFAOYSA-K,Iron(3+) phosphate,FeO4P,150.815,150.888356,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6923-22-4,CASRN,DTXSID9034816,Monocrotophos,DTXCID7014816,6923-22-4,KRTSDMXIXPKRQR-AATRIKPKSA-N,Dimethyl (2E)-4-(methylamino)-4-oxobut-2-en-2-yl phosphate,C7H14NO5P,223.165,223.060959553,1.11686,295.471,1.91426E-07,1.184,0.746,0.000521195,137.795,5.614,0.564,4.19759E-05,N/A,156.133,0.00498884,13.4896,5.72796E-05,0.384592,2.77374E-11,0.922318,4.13837,301.778,2.27778E-10,0.252442,8.5795,1.00779,-0.199428,54.9799,N/A,N/A,2.18979E-06,4.17057
1070-03-7,CASRN,DTXSID8035184,2-Ethylhexyl dihydrogen phosphate,DTXCID307740,1070-03-7,LJKDOMVGKKPJBH-UHFFFAOYSA-N,2-Ethylhexyl dihydrogen phosphate,C8H19O4P,210.21,210.10209609,9.7499,284.273,4.61318E-05,1.318,0.909,5.74116E-06,197.233,114.086,0.171,0.011272,N/A,N/A,N/A,N/A,N/A,0.0544503,2.41786E-11,4.92035,3.67944,318.271,1.16227E-07,0.271402,8.11032,14.5626,1.13302,97.2055,N/A,N/A,6.32332E-08,0.142081
32586-82-6,CASRN,DTXSID10895146,Sodium dimethyl phosphate,DTXCID701324666,32586-82-6,LMGRDVWNCARTPS-UHFFFAOYSA-M,Sodium dimethyl phosphate,C2H6NaO4P,148.03,147.99013995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48865E-11,5.34981,4.90621,174.046,2.6394E-07,0.0800573,5.03404,3.85704,-1.3922,82.0328,N/A,N/A,0.375299,1.33531
68649-38-7,CASRN,DTXSID1048047,"Phosphoric acid, bis(2-ethylhexyl) ester, compd. with 2,2′-(coco alkylimino)bis[ethanol]",N/A,68649-38-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36378-61-7,CASRN,DTXSID0042298,Pirimiphos-ethyl O-analog,DTXCID8022298,36378-61-7,WSPIMFPJZBRGMD-UHFFFAOYSA-N,2-(Diethylamino)-6-methylpyrimidin-4-yl diethyl phosphate,C13H24N3O4P,317.326,317.150443263,13.213,333.953,3.91742E-08,1.194,0.77,1.72584E-05,193.376,6.232,0.64,0.000887156,N/A,N/A,0.00102329,N/A,1.1695E-05,0.000799834,1.7234E-11,2.22165,3.81639,335.986,5.9049E-07,0.581906,10.6546,282.595,3.59354,38.2818,N/A,N/A,6.61285E-05,0.000643851
