ai,ineq,AAC.LD50,source
SODIUM CHLORATE,NA,20.8,Ecotox Export (new)
SPINETORAM,NA,0.024,Ecotox Export
SPINOSYN,NA,0.0029,Ecotox Export
SPIROMESIFEN,>,200,Ecotox Export
SULFENTRAZONE,>,25.1,Ecotox Export
SULFOSATE,NA,103,Related ai (glyphosate)
SULFOXAFLOR,NA,0.13,Ecotox Export
SULFUR,NA,1051,Ecotox Export
TEBUCONAZOLE,NA,100,PRA
TEBUFENOZIDE,NA,234,Ecotox Export (new)
TEFLUTHRIN,NA,0.17,Ecotox Export
TEMBOTRIONE,NA,100,PRA
TERBACIL,NA,193.38,Ecotox Export (new)
TERBUFOS,NA,4.09,Ecotox Export
TETRACONAZOLE,NA,61,PRA
THIAMETHOXAM,NA,0.0198,Ecotox Export
THIDIAZURON,NA,98.1,Ecotox Export (new)
THIENCARBAZONE-METHYL,NA,199,PRA
THIFENSULFURON,NA,12.5,ERA
THIODICARB,NA,2.11,Ecotox Export
THIOPHANATE-METHYL,>,100,Ecotox Export
TOLPYRALATE,NA,108,New Chem Assessment
TOPRAMEZONE,>,100,Ecotox Export
TRALKOXYDIM,>,100,Ecotox Export
TRALOMETHRIN,NA,0.126,Ecotox Export
TRI-ALLATE,>,25,Ecotox Export
TRIBENURON METHYL,>,100,Ecotox Export
TRICLOPYR,>,100,Ecotox Export
TRIFLOXYSTROBIN,>,200,Ecotox Export
TRIFLURALIN,>,24.17,Ecotox Export
ZETA-CYPERMETHRIN,NA,0.023,PRA
